amazon_brand,answered_questions,amazons_choice,average_rating,best_seller_category,best_seller_rank,climate_friendly,coupon_percent,department,discount_percent,fakespot_ranking,free_prime_shipping,free_returns,limited_stock,log_unit_price,negative_log_best_seller_rank,new_seller,number_of_ratings,product_department,return_within_days,scaled_relevance_score,search_id,search_rank,ships_from_amazon,small_business,sold_by_amazon,sponsored,standard_shipping_date_range,standard_shipping_expected_date,subscribe_coupon,subscription_available,unit,unit_price,one_star_percent,two_star_percent,three_star_percent,four_star_percent,five_star_percent
FALSE,184,FALSE,4.9,Automotive,29,FALSE,0,All Departments,0,3,TRUE,FALSE,FALSE,6.476956978155954,-11.389615936344557,TRUE,551,automotive,30,0.6922346391824161,All Departments-automotive wheels,4,FALSE,TRUE,FALSE,FALSE,0,2023-05-18,FALSE,FALSE,Purchase,649.99,1,0,0,4,4
FALSE,355,FALSE,4.8,Automotive,31,FALSE,0,All Departments,0,5,TRUE,FALSE,TRUE,6.956545443151569,-12.409401169471323,TRUE,133,automotive,30,0.7536169595033391,All Departments-automotive wheels,5,FALSE,FALSE,FALSE,FALSE,4,2023-05-21,FALSE,FALSE,Purchase,1050,4,0,0,4,1
FALSE,28,FALSE,4.8,Health & Household,18,TRUE,0,All Departments,0.33273381294964033,2,TRUE,FALSE,FALSE,-0.6733445532637656,-6.587550014824796,TRUE,16416,health_and_beauty,0,0.299514830451562,All Departments-baby shampoo,1,TRUE,FALSE,TRUE,TRUE,0,2023-05-22,TRUE,TRUE,Fl Oz,0.51,1,1,2,9,7
FALSE,46,FALSE,4.8,Health & Household,38,TRUE,0,All Departments,0.33040421792618624,3,TRUE,FALSE,FALSE,-0.4620354595965587,-7.78155595923534,FALSE,14432,health_and_beauty,0,0.3298683736697434,All Departments-baby shampoo,2,TRUE,FALSE,TRUE,TRUE,0,2023-05-22,TRUE,TRUE,Fl Oz,0.63,1,1,3,9,6
FALSE,0,TRUE,4.8,Baby,41,TRUE,0,All Departments,0.3506743737957611,4,TRUE,FALSE,FALSE,-0.5447271754416722,-7.73718007783463,FALSE,1381,health_and_beauty,0,0.32984504119115865,All Departments-baby shampoo,3,TRUE,FALSE,TRUE,TRUE,0,2023-05-22,TRUE,TRUE,Fl Oz,0.58,1,1,2,8,7
FALSE,15,TRUE,4.8,Health & Household,84,TRUE,0,All Departments,0.3394077448747153,2,TRUE,FALSE,FALSE,-0.31471074483970024,-9.417191926513414,FALSE,3260,health_and_beauty,0,0.34327569860547225,All Departments-baby shampoo,4,TRUE,FALSE,TRUE,TRUE,0,2023-05-22,TRUE,TRUE,Fl Oz,0.73,1,1,3,0,5
FALSE,47,FALSE,4.7,Baby,13,TRUE,0,All Departments,0.3437500000000001,4,TRUE,FALSE,FALSE,2.038619547159581,-4.189654742026425,FALSE,23779,baby_product,0,0.34628498491673365,All Departments-baby shampoo,5,TRUE,FALSE,TRUE,FALSE,0,2023-05-22,FALSE,TRUE,Purchase,7.68,2,1,3,9,5
TRUE,0,TRUE,4.6,Our Brands,5,FALSE,0,All Departments,0,4,TRUE,FALSE,FALSE,-1.5141277326297755,-7.20934025660291,FALSE,1167,health_and_beauty,0,0.39186598754231056,All Departments-baby shampoo,6,TRUE,FALSE,TRUE,FALSE,0,2023-05-22,FALSE,TRUE,Ounce,0.22,2,2,9,3,5
FALSE,3,TRUE,4.5,Health & Household,69,TRUE,0,All Departments,1.1549520766773165,2,TRUE,FALSE,FALSE,1.8341801851120072,-9.021235862885396,FALSE,1777,health_and_beauty,0,0.375375154876374,All Departments-baby shampoo,7,TRUE,FALSE,FALSE,FALSE,0,2023-05-22,FALSE,FALSE,Purchase,6.26,5,2,5,9,8
FALSE,28,FALSE,4.8,Health & Household,17,TRUE,0,All Departments,0.33273381294964033,2,TRUE,FALSE,FALSE,-0.6733445532637656,-6.587550014824796,FALSE,16416,health_and_beauty,0,0.299514830451562,All Departments-baby shampoo,8,TRUE,FALSE,TRUE,FALSE,0,2023-05-22,TRUE,TRUE,Fl Oz,0.51,1,1,2,9,7
FALSE,0,FALSE,4.6,Baby,27,FALSE,0,All Departments,0.4627118644067797,4,TRUE,TRUE,FALSE,-1.2378743560016174,-6.520621127558696,FALSE,292,beauty,30,0.3765582724542658,All Departments-baby shampoo,9,TRUE,FALSE,TRUE,FALSE,0,2023-05-22,TRUE,TRUE,Fl Oz,0.29,2,3,6,0,9
FALSE,0,TRUE,4.7,Baby,21,TRUE,0,All Departments,0.3765690376569037,4,TRUE,TRUE,FALSE,1.5644405465033646,-5.934894195619588,FALSE,1894,baby_product,30,0.37644402376602326,All Departments-baby shampoo,10,TRUE,FALSE,TRUE,FALSE,0,2023-05-22,FALSE,TRUE,Purchase,4.78,1,1,3,9,5
FALSE,92,FALSE,4.8,Baby,9,FALSE,0,All Departments,0,3,TRUE,TRUE,FALSE,-0.3011050927839216,-3.4339872044851463,TRUE,21542,baby_product,90,0.37143055800115526,All Departments-baby shampoo,11,TRUE,FALSE,TRUE,TRUE,0,2023-05-22,FALSE,TRUE,Fl Oz,0.74,1,1,3,8,7
FALSE,0,FALSE,4.5,Health & Household,57,FALSE,0,All Departments,0,1,TRUE,TRUE,FALSE,-0.21072103131565253,-8.756210091886738,FALSE,1003,health_and_beauty,30,0.19920528674284887,All Departments-baby shampoo,12,TRUE,FALSE,TRUE,TRUE,0,2023-05-22,FALSE,TRUE,Fl Oz,0.81,5,2,4,0,8
FALSE,49,FALSE,4.7,Baby,7,TRUE,0,All Departments,0.18426724137931044,2,TRUE,FALSE,FALSE,-0.07257069283483537,-2.995732273553991,FALSE,5566,beauty,0,0.3112776179311801,All Departments-baby shampoo,13,TRUE,FALSE,TRUE,FALSE,0,2023-05-22,FALSE,TRUE,Fl Oz,0.93,2,1,4,0,2
FALSE,46,FALSE,4.8,Health & Household,39,TRUE,0,All Departments,0.33040421792618624,3,TRUE,FALSE,FALSE,-0.4620354595965587,-7.78155595923534,TRUE,14432,health_and_beauty,0,0.3298683736697434,All Departments-baby shampoo,14,TRUE,FALSE,TRUE,FALSE,0,2023-05-22,TRUE,TRUE,Fl Oz,0.63,1,1,3,9,6
FALSE,32,TRUE,4.6,Unique Finds,2,TRUE,0,All Departments,0,1,TRUE,TRUE,FALSE,-0.2744368457017603,-4.718498871295094,FALSE,4145,beauty,30,0.3761575974771899,All Departments-baby shampoo,15,TRUE,FALSE,FALSE,FALSE,0,2023-05-22,FALSE,TRUE,Fl Oz,0.76,4,2,5,1,8
FALSE,6,TRUE,4.7,Baby,29,FALSE,0,All Departments,0,3,TRUE,FALSE,FALSE,-0.8915981192837836,-6.7661917146603505,TRUE,4468,health_and_beauty,0,0.36575392687513303,All Departments-baby shampoo,16,TRUE,FALSE,TRUE,FALSE,0,2023-05-22,FALSE,TRUE,Fl Oz,0.41,2,1,4,1,2
FALSE,0,TRUE,4.9,Baby,44,FALSE,0,All Departments,0.3548387096774194,5,TRUE,TRUE,FALSE,-0.3285040669720361,-8.318254328798846,TRUE,96,health_and_beauty,30,0.3285364109698455,All Departments-baby shampoo,17,TRUE,FALSE,TRUE,TRUE,0,2023-05-22,TRUE,TRUE,Fl Oz,0.72,0,0,1,6,3
FALSE,49,FALSE,4.7,Baby,5,TRUE,0,All Departments,0.18426724137931044,2,TRUE,FALSE,FALSE,-0.07257069283483537,-2.995732273553991,FALSE,5566,beauty,0,0.3112776179311801,All Departments-baby shampoo,18,TRUE,FALSE,TRUE,TRUE,0,2023-05-22,FALSE,TRUE,Fl Oz,0.93,2,1,4,0,2
FALSE,106,FALSE,4.6,Baby,17,FALSE,0,All Departments,0.13224181360201506,2,TRUE,FALSE,FALSE,-0.4155154439616658,-5.680172609017068,TRUE,14838,health_and_beauty,0,0.33441136816383804,All Departments-baby shampoo,19,TRUE,FALSE,TRUE,TRUE,0,2023-05-22,FALSE,TRUE,Fl Oz,0.66,3,2,4,9,2
FALSE,3,TRUE,4.6,Climate Pledge Friendly,9,TRUE,0,All Departments,0,5,TRUE,TRUE,FALSE,0,-8.290292591224315,FALSE,194,health_and_beauty,30,0.32903826040147416,All Departments-baby shampoo,20,TRUE,FALSE,TRUE,TRUE,0,2023-05-22,FALSE,FALSE,Fl Oz,1,3,2,5,3,7
FALSE,20,TRUE,4.7,Beauty & Personal Care,31,FALSE,0,All Departments,0.3489932885906039,4,TRUE,FALSE,FALSE,-0.8209805520698302,-8.03689677268507,FALSE,19305,health_and_beauty,0,0.26720055446403523,All Departments-baby shampoo,21,TRUE,FALSE,TRUE,FALSE,0,2023-05-22,FALSE,TRUE,Fl Oz,0.44,2,1,5,9,3
FALSE,92,FALSE,4.8,Baby,10,FALSE,0,All Departments,0.1279799247176914,3,TRUE,TRUE,FALSE,-0.527632742082372,-3.4339872044851463,FALSE,21542,baby_product,90,0.37672602492960783,All Departments-baby shampoo,22,TRUE,FALSE,TRUE,FALSE,0,2023-05-22,FALSE,TRUE,Fl Oz,0.59,1,1,3,8,7
